,probeID,pvalue
469,201285_at,2.06E-05
470,203907_s_at,2.10E-05
471,214100_x_at,2.11E-05
472,221311_x_at,2.11E-05
473,212914_at,2.12E-05
474,212068_s_at,2.14E-05
475,213545_x_at,2.14E-05
476,206332_s_at,2.18E-05
477,206829_x_at,2.18E-05
478,213351_s_at,2.20E-05
479,221044_s_at,2.20E-05
480,204385_at,2.22E-05
481,218524_at,2.23E-05
482,212669_at,2.24E-05
483,205170_at,2.24E-05
484,203927_at,2.25E-05
485,200840_at,2.28E-05
486,202792_s_at,2.28E-05
487,209438_at,2.31E-05
488,216549_s_at,2.32E-05
489,203181_x_at,2.34E-05
490,221680_s_at,2.34E-05
491,203604_at,2.35E-05
492,203610_s_at,2.36E-05
493,219763_at,2.38E-05
494,218334_at,2.38E-05
495,220308_at,2.39E-05
496,204698_at,2.39E-05
497,211456_x_at,2.42E-05
498,209807_s_at,2.42E-05
499,202425_x_at,2.45E-05
500,220452_x_at,2.46E-05
